kinase_i,kinase_j,PairCTS
ERBB3,JAK2,0.4331720790814075
ERBB3,JAK3,0.41779003266909465
ERBB3,TYK2,0.39674010639618684
ERBB3,ABL1,0.4489901452823569
ERBB3,ABL2,0.3873847820378354
ERBB3,ZAP70,0.3923640342081927
ERBB3,SYK,0.45207698861708384
ERBB3,BTK,0.4107679199426636
ERBB3,ITK,0.39433070054947494
ERBB3,TEC,0.41903670689868233
ERBB3,BMX,0.38882725340323276
ERBB3,TXK,0.4196859289392813
ERBB3,TNK1,0.43415432357984696
ERBB3,TNK2,0.37864230082488654
ERBB3,CSK,0.4371480895017469
ERBB3,MATK,0.3690995180953035
ERBB3,FER,0.391487112422947
ERBB3,FES,0.40746754145195535
ERBB3,LMTK2,0.4308036422577747
ERBB3,LMTK3,0.4319412155444443
ERBB4,MET,0.21379549026879113
ERBB4,MST1R,0.13993979567610698
ERBB4,ALK,0.21705640148653793
ERBB4,LTK,0.15531685438449205
ERBB4,STYK1,0.1501991219399019
ERBB4,KIT,0.21099149446830767
ERBB4,PDGFRA,0.23896315391241532
ERBB4,PDGFRB,0.27357049559909186
ERBB4,CSF1R,0.18729555789301558
ERBB4,FLT3,0.18003790177319562
ERBB4,FLT1,0.20099400107026993
ERBB4,KDR,0.3051446329142302
ERBB4,FLT4,0.19794368614497093
ERBB4,TEK,0.16790145684468996
ERBB4,TIE1,0.1977821612101942
ERBB4,FGFR1,0.2551447610120246
ERBB4,FGFR2,0.23070958152648643
ERBB4,FGFR3,0.17643565804051198
ERBB4,FGFR4,0.19048207923556515
ERBB4,INSR,0.17161346138162487
ERBB4,IGF1R,0.24952772053703987
ERBB4,INSRR,0.1941299458338811
ERBB4,NTRK1,0.26779419096231044
ERBB4,NTRK2,0.2703704216344359
ERBB4,NTRK3,0.19091701589914598
ERBB4,AXL,0.2040972599500387
ERBB4,MERTK,0.20664193165034928
ERBB4,TYRO3,0.2161304141250004
ERBB4,DDR1,0.16939228823224967
ERBB4,DDR2,0.17265181377178324
ERBB4,RET,0.20051018247938973
ERBB4,ROR1,0.15760912339523203
ERBB4,ROR2,0.15812144529426264
ERBB4,MUSK,0.13393031276703937
ERBB4,AATK,0.4057560866706755
ERBB4,EPHA1,0.3787897538812161
ERBB4,EPHA2,0.40199740504030207
ERBB4,EPHA3,0.4183674295189244
ERBB4,EPHA4,0.377480207867066
ERBB4,EPHA5,0.4419173197628755
ERBB4,EPHA6,0.35994468667048807
ERBB4,EPHA7,0.379061551255788
ERBB4,EPHA8,0.39894293648573026
ERBB4,EPHA10,0.36442426499708586
ERBB4,EPHB1,0.44542150721773355
ERBB4,EPHB2,0.38404922516165657
ERBB4,EPHB3,0.3844171082967687
ERBB4,EPHB4,0.3728951349386937
ERBB4,EPHB6,0.3638973782374364
ERBB4,ROS1,0.40917762519965134
ERBB4,RYK,0.38908486438788403
ERBB4,PTK7,0.37200793053593195
ERBB4,SRC,0.4341773173105491
ERBB4,YES1,0.4175930063437227
ERBB4,FYN,0.4200382358666538
