trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
228,0.9581676750216075,0.9,0.9,0.17828811739261172,0.282344607527372,0.26802723642660986,0.27134003865340633
229,0.9785652549697493,0.9,0.8,0.3788483035517542,0.17836195930702353,0.2037669726059484,0.23902276453527382
230,0.9732477260567147,0.9,0.9,0.29170203415815604,0.24791212534140086,0.17881929831745583,0.2815665421829874
231,0.8477178252459151,0.7,0.75,0.1695338105316137,0.12014897886111886,0.21123878635680704,0.49907842425046034
232,0.939416388854591,0.9,0.8,0.23470651527224898,0.2840554706604696,0.15056779939124676,0.3306702146760345
233,0.891278758694489,0.8,0.85,0.13090568266638075,0.15654739075089502,0.421136454411502,0.2914104721712221
234,0.984936411902704,1.0,0.85,0.3579958724473261,0.2955732175543978,0.20230345269485261,0.14412745730342347
235,0.7904103387249455,0.7,0.8,0.07877194508183519,0.4456204670723515,0.08950167492559144,0.38610591292022206
236,0.9768531094373791,1.0,0.95,0.2305400008365657,0.248347407274937,0.2410116764156209,0.28010091547287647
237,0.91534757377454,0.9,0.8,0.22990507643950703,0.10054371440275886,0.2551815380042074,0.4143696711535267
238,0.919907807548257,0.8,0.75,0.15864635104598523,0.43274852712124384,0.25734139205831374,0.15126372977445718
239,0.9366012264888669,0.8,0.8,0.2886172031353832,0.32791763536653207,0.33860899424456004,0.04485616725352466
240,0.7768613409062847,0.6,0.8,0.039958801206451816,0.4176294198037844,0.12452229775193294,0.4178894812378309
241,0.9251924105856689,0.8,0.75,0.39102494627377127,0.13123686380053917,0.14471486914683498,0.33302332077885455
